Jahr;Bundesland;gesamt;Jänner;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Population
2012;Österreich;17 006;1 242;1 460;1 559;1 363;1 513;1 443;1 366;1 222;1 362;1 550;1 519;1 407;8426311
2012;Burgenland         ;541;46;43;52;47;51;60;33;32;51;47;42;37;286143
2012;Kärnten            ;989;68;95;92;88;83;79;69;75;68;101;73;98;555751
2012;Niederösterreich   ;3 424;258;276;371;252;323;285;281;222;299;320;280;257;1616161
2012;Oberösterreich     ;2 522;178;211;195;229;208;232;194;184;203;227;220;241;1416387
2012;Salzburg           ;971;79;71;89;63;98;84;85;90;64;86;76;86;530527
2012;Steiermark         ;2 199;178;191;170;149;198;182;189;194;162;191;197;198;1209466
2012;Tirol              ;1 156;71;101;111;110;98;97;86;94;82;107;107;92;712849
2012;Vorarlberg         ;712;38;68;65;54;69;52;69;62;53;65;64;53;371697
2012;Wien               ;4 492;326;404;414;371;385;372;360;269;380;406;460;345;1727330
2013;Österreich;15 958;1 259;1 190;1 315;1 454;1 368;1 360;1 346;1 061;1 337;1 515;1 382;1 371;8477230
2013;Burgenland         ;502;32;30;43;60;36;40;55;31;30;52;45;48;286983
2013;Kärnten            ;869;82;79;75;71;70;63;76;57;49;98;74;75;555589
2013;Niederösterreich   ;3 280;218;234;281;305;261;290;300;210;324;316;266;275;1621469
2013;Oberösterreich     ;2 346;172;190;191;181;244;198;188;156;184;211;226;205;1421939
2013;Salzburg           ;944;70;58;71;84;65;77;76;54;89;98;92;110;532902
2013;Steiermark         ;2 108;174;153;182;176;156;209;187;159;188;219;153;152;1212502
2013;Tirol              ;1 089;93;89;100;95;80;91;101;75;75;91;100;99;718379
2013;Vorarlberg         ;691;62;59;54;57;66;56;50;63;46;61;51;66;373870
2013;Wien               ;4 129;356;298;318;425;390;336;313;256;352;369;375;341;1753597
2014;Österreich;16 647;1 272;1 374;1 510;1 543;1 397;1 325;1 462;1 012;1 469;1 576;1 325;1 382;8543932
2014;Burgenland         ;505;43;46;54;45;32;29;42;31;38;69;41;35;287791
2014;Kärnten            ;986;70;91;77;97;77;91;86;67;78;90;74;88;556637
2014;Niederösterreich   ;3 300;228;256;294;327;281;257;289;197;335;276;265;295;1631157
2014;Oberösterreich     ;2 491;184;211;214;228;194;180;248;160;220;239;209;204;1431253
2014;Salzburg           ;877;90;53;62;72;76;71;73;54;72;98;81;75;536340
2014;Steiermark         ;2 226;176;194;218;175;201;179;196;148;184;200;174;181;1217861
2014;Tirol              ;1 131;89;93;106;122;96;89;102;82;60;111;87;94;724878
2014;Vorarlberg         ;687;38;59;45;62;66;57;67;44;69;64;59;57;376973
2014;Wien               ;4 444;354;371;440;415;374;372;359;229;413;429;335;353;1781042
2015;Österreich;16 351;1 163;1 180;1 493;1 451;1 377;1 429;1 390;987;1 359;1 448;1 435;1 639;8629519
2015;Burgenland         ;520;32;32;46;39;49;45;48;38;42;46;56;47;289262
2015;Kärnten            ;920;65;72;86;80;75;75;82;72;61;77;74;101;558612
2015;Niederösterreich   ;3 531;272;275;325;303;297;336;280;203;303;315;293;329;1643001
2015;Oberösterreich     ;2 372;151;168;236;204;208;202;202;141;174;206;209;271;1444122
2015;Salzburg           ;911;66;53;86;85;80;78;80;56;81;74;68;104;541439
2015;Steiermark         ;2 113;177;143;171;207;176;187;189;129;189;171;167;207;1225187
2015;Tirol              ;1 151;75;83;103;101;84;84;94;109;84;95;118;121;732671
2015;Vorarlberg         ;664;45;37;57;75;48;75;60;38;64;51;49;65;381000
2015;Wien               ;4 169;280;317;383;357;360;347;355;201;361;413;401;394;1814225
2016;Österreich;15 919;1 069;1 330;1 427;1 439;1 385;1 471;1 246;1 083;1 374;1 307;1 347;1 441;8739806
2016;Burgenland         ;534;35;48;38;59;47;40;41;45;42;47;41;51;291663
2016;Kärnten            ;900;56;74;90;94;88;86;61;50;80;67;69;85;561099
2016;Niederösterreich   ;3 242;215;270;263;253;278;290;282;221;305;281;268;316;1661109
2016;Oberösterreich     ;2 345;166;191;229;203;202;225;202;162;162;177;226;200;1460276
2016;Salzburg           ;912;68;67;72;85;63;99;77;71;80;75;86;69;547639
2016;Steiermark         ;2 030;120;179;181;173;190;176;170;136;198;142;155;210;1235582
2016;Tirol              ;1 181;70;106;120;113;112;102;98;88;83;93;84;112;742590
2016;Vorarlberg         ;650;39;47;55;56;47;68;58;51;49;57;54;69;386708
2016;Wien               ;4 125;300;348;379;403;358;385;257;259;375;368;364;329;1853140
2017;Österreich;16 180;1 286;1 223;1 609;1 337;1 451;1 393;1 252;1 087;1 338;1 525;1 382;1 297;8795073
2017;Burgenland         ;527;46;26;44;38;73;32;44;37;53;45;47;42;292160
2017;Kärnten            ;950;75;63;102;85;75;78;61;78;67;96;85;85;560852
2017;Niederösterreich   ;3 241;250;260;325;284;280;291;260;184;291;298;261;257;1667630
2017;Oberösterreich     ;2 522;198;180;249;216;217;230;211;159;195;228;222;217;1469187
2017;Salzburg           ;919;83;67;96;62;80;77;84;70;78;81;68;73;550976
2017;Steiermark         ;2 019;159;163;186;175;187;200;151;144;163;200;150;141;1238067
2017;Tirol              ;1 134;88;87;103;88;106;75;102;98;72;91;115;109;748186
2017;Vorarlberg         ;714;45;51;67;66;65;59;46;55;53;60;64;83;390296
2017;Wien               ;4 154;342;326;437;323;368;351;293;262;366;426;370;290;1877719
2018;Österreich;16 304;1 328;1 262;1 496;1 377;1 388;1 385;1 405;1 092;1 269;1 534;1 382;1 386;8837707
2018;Burgenland         ;499;35;39;58;46;47;36;43;32;38;42;43;40;292966
2018;Kärnten            ;946;61;67;86;89;63;90;78;78;76;99;90;69;560787
2018;Niederösterreich   ;3 345;281;260;310;264;277;266;283;196;291;327;274;316;1673607
